date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,score1,score2
2009-11-09,2009,DEN,PIT,1562.719,1663.463,0.4487409666931168,0.5512590333068832,1557.65316585,1637.39093632,126.37144253316,137.31781326054,3.8221494986,17.6719020884,10,28
2009-11-12,2009,SF,CHI,1427.412,1483.269,0.5131547982016602,0.4868452017983398,1436.40203855,1471.33718128,36.981408518669994,147.36234519401998,-53.1995586074,13.1406496103,10,6
2009-11-15,2009,WAS,DEN,1395.465,1536.716,0.3919945188483211,0.6080054811516789,1401.47313163,1533.70336173,89.65046379662999,111.23316218058,-10.3693966019,-3.55784317698,27,17
2009-11-15,2009,PIT,CIN,1689.466,1543.63,0.770947594249516,0.229052405750484,1661.34074043,1542.52665296,141.6890881626,147.53344747779,19.1085785848,20.4076372604,12,18
2009-11-15,2009,MIA,TB,1502.472,1394.171,0.730586595630678,0.26941340436932204,1484.1096796,1385.80719747,75.42799789370999,110.46282768477,-29.3620112874,34.4460240397,25,23
2009-11-15,2009,ARI,SEA,1585.72,1423.433,0.7872401268755932,0.2127598731244068,1569.61584163,1439.88903656,184.8109941216,86.80320095732999,1.33555933958,-0.939313216704,31,20
2009-11-15,2009,SD,PHI,1566.454,1598.255,0.5476323184856838,0.45236768151431617,1559.81400311,1590.20953814,166.25380187789995,146.21058894552,8.88206117066,-12.9252652375,31,23
2009-11-15,2009,OAK,KC,1356.848,1319.848,0.6427130688326204,0.35728693116737964,1360.11711137,1326.78483512,-3.301219161999,71.13116932317,-34.1067855446,10.0800831335,10,16
2009-11-15,2009,CAR,ATL,1496.349,1568.858,0.4891953625873552,0.5108046374126448,1488.67029773,1562.65541261,58.65389658876,107.77692185535,-14.030801597,-4.47428760373,28,19
2009-11-15,2009,TEN,BUF,1514.586,1427.598,0.7057670152757468,0.2942329847242532,1494.10972282,1434.98048621,97.42370422059,63.747902891639995,1.4073745592,-4.91951948776,41,17
2009-11-15,2009,NYJ,JAX,1511.455,1444.239,0.6815917433825356,0.3184082566174644,1500.59662374,1450.36957325,81.35437165548,116.32692124152,-10.9003765319,-2.58639649649,22,24
2009-11-15,2009,IND,NE,1708.272,1652.596,0.6670042957839333,0.3329957042160667,1676.92781231,1655.93677825,244.81154602707,234.50771634444,21.0113851091,23.9534498419,35,34
2009-11-15,2009,GB,DAL,1477.945,1617.211,0.394721205765613,0.605278794234387,1492.15454242,1609.63463358,159.36042480500998,157.25455580571,8.30058006272,13.1828708773,17,7
2009-11-15,2009,MIN,DET,1624.41,1263.213,0.9208087937627104,0.07919120623728959,1631.7787706,1279.43048291,154.9024199514,64.53759474558,29.8892928046,-4.19113648233,27,10
2009-11-15,2009,STL,NO,1294.744,1690.012,0.1299754963003289,0.8700245036996711,1324.25090822,1679.0670556,28.554777883698,230.55351230372997,-8.5943963148999991,10.095612518,23,28
2009-11-16,2009,CLE,BAL,1336.33,1594.849,0.2471287245167654,0.7528712754832346,1344.5226743,1555.96176619,59.25829333578,111.4277114874,21.3700220498,7.65554023806,0,16
2009-11-19,2009,CAR,MIA,1519.953,1507.959,0.6090243792798955,0.3909756207201045,1513.79163138,1491.76090173,72.49830013206,76.57028990357999,-6.33554284631,-27.322764718,17,24
2009-11-22,2009,KC,PIT,1346.077,1656.282,0.1959954562043789,0.8040045437956211,1351.26962865,1630.51616991,65.38172757963,121.02061119093,6.66083012709,7.94008190454,27,24
2009-11-22,2009,NYG,ATL,1559.855,1545.254,0.612591870895703,0.387408129104297,1546.21363415,1537.53407895,114.1501601361,103.36672524057,5.15535970494,-6.47529395492,34,31
2009-11-22,2009,DET,CLE,1259.378,1323.459,0.5013225442283848,0.4986774557716151,1276.42003235,1326.31096326,71.11441421138998,32.515141852182,-0.693169925404,6.92994520543,38,37
2009-11-22,2009,DAL,WAS,1587.169,1425.671,0.7864784060149689,0.21352159398503112,1580.44094135,1431.83493849,147.62941910805,93.79484858898,7.47968705859,-7.80646776955,7,6
2009-11-22,2009,TB,NO,1388.684,1694.062,0.2004110943883719,0.7995889056116281,1378.15597534,1684.05792623,104.48060117154,219.46310962554,29.732609581,3.92169398657,7,38
2009-11-22,2009,MIN,SEA,1628.245,1413.849,0.8331797697139864,0.16682023028601356,1634.78922117,1428.5127464,161.93635928514001,76.90113451415999,31.911797831,-5.84224880794,35,9
2009-11-22,2009,NE,NYJ,1648.22,1495.521,0.7778491889215297,0.22215081107847032,1650.68343254,1484.94037729,242.94408985374,75.6938462082,26.9677273752,-13.1856204289,31,14
2009-11-22,2009,OAK,CIN,1330.618,1576.814,0.2605623044591025,0.7394376955408974,1335.63231785,1573.35122348,40.073604128579994,139.4749108071,-21.7723285101,15.1036923721,20,17
