total_result,temp,wind,total_line,away_rest,home_rest,avg_away_total_yards,avg_home_total_yards,avg_away_total_yards_against,avg_home_total_yards_against,away_total_offense_rank,home_total_offense_rank,away_total_defense_rank,home_total_defense_rank,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,total_team_elo,total_qb_elo,team_elo_diff,qb_elo_diff
Over,79,9,44.0,7,7,438.5,301.0,288.5,435.0,25,9,7,24,1566.449,1555.742,0.6072588800211236,0.3927411199788764,1567.00137316,1572.00254019,124.98391044215998,118.1299119132,13.6824318454,15.257539212,3139.00391335,28.9399710574,5.001167030000033,1.5751073665999993
Under,79,8,42.0,7,7,391.0,327.5,353.0,324.5,22,14,15,9,1415.003,1507.213,0.4609215255744283,0.5390784744255717,1446.03180937,1519.82534451,84.3143746929,99.1840225926,5.11302589374,4.91431078341,2965.85715388,10.02733667715,73.7935351399999,0.1987151103299993
Under,70,15,42.5,7,6,428.0,316.5,269.5,359.5,24,11,6,16,1478.788,1618.755,0.3937575219132019,0.6062424780867981,1466.03760623,1547.49566274,35.767995112079994,114.23344948422,-7.07138001188,0.631162765834,3013.53326897,-6.440217246046,81.45805651,7.702542777713999
Under,68,3,40.0,7,7,299.0,250.5,241.0,502.0,8,3,3,26,1474.643,1383.309,0.7109352910070101,0.2890647089929898,1467.5555509,1408.95200286,36.94964519037,86.60992929830999,-14.0912626992,9.76871891973,2876.50755376,-4.322543779469999,58.60354804000008,23.85998161893
Under,80,10,34.5,7,7,345.0,269.5,426.0,428.0,15,6,22,23,1523.075,1539.343,0.5696746705880186,0.4303253294119814,1507.08508417,1562.21548978,21.154099771893,79.78467123956999,-17.4314697207,8.5064415972,3069.3005739500004,-8.9250281235,55.130405610000025,25.937911317900003
Over,66,8,44.0,8,8,267.5,372.5,351.0,227.0,5,20,14,2,1528.539,1453.139,0.69172737371591,0.30827262628409,1591.69361262,1449.33320849,103.89396055104,160.51346426313,4.23415213759,58.5381134088,3041.02682111,62.77226554639,142.36040413,54.30396127121
Over,72,0,55.0,7,7,512.6666666666666,286.3333333333333,381.0,352.3333333333333,28,7,24,22,1481.165,1648.15,0.3573067595170801,0.64269324048292,1490.14072538,1638.60108758,83.70906966642,184.73109766749,-0.700831242432,26.963298399,3128.74181296,26.262467156568,148.46036219999996,27.664129641432
Under,70,5,38.0,7,7,307.5,332.3333333333333,343.0,268.3333333333333,15,18,20,5,1517.122,1327.042,0.8128077599958016,0.1871922400041984,1533.67027427,1341.69216006,68.54384221046999,8.259988334630998,2.94720146848,-27.8197821488,2875.36243433,-24.87258068032,191.97811420999983,30.76698361728
Under,58,12,37.5,7,7,249.33333333333331,301.6666666666667,326.6666666666667,401.6666666666667,3,13,17,26,1396.068,1472.661,0.4833225208785914,0.5166774791214086,1426.42789519,1469.7644474,85.79052972039,50.17414051452,5.59545211272,20.3641297319,2896.1923425900004,25.95958184462,43.33655221000004,14.76867761918
Over,64,20,47.0,7,6,381.0,291.0,512.6666666666666,364.3333333333333,24,11,28,23,1481.895,1359.208,0.7465721735861122,0.2534278264138878,1478.56711553,1365.08253715,79.52114351049,133.55026924337997,-25.0698976395,7.18264437467,2843.64965268,-17.88725326483,113.4845783799999,32.25254201417
Under,88,12,34.5,7,7,308.6666666666667,268.3333333333333,395.6666666666667,332.3333333333333,16,5,25,18,1545.296,1462.055,0.7012681083811325,0.2987318916188675,1535.63029968,1446.21141851,29.349295488446995,36.55701834081,-12.4622983764,-6.31736675483,2981.84171819,-18.77966513123,89.41888117000008,6.14493162157
