"game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"REG","Sunday","Home",37,7,7,0,"outdoors","sportturf",47,10,2792.80332031,-11.03549815276,26,30,31,31,-4
"REG","Sunday","Home",41.5,7,6,0,"dome","matrixturf",72,0,3003.08202091879,-81.9127727787673,10,7,8,29,24
"REG","Thursday","Home",34,4,4,1,"outdoors","grass",15,25,2874.33644075,44.7653698485,32,20,2,7,17
"REG","Saturday","Home",46.5,6,6,1,"outdoors","grass",62,8,3038.33313009,28.75532895477,15,15,25,10,-15
"REG","Sunday","Home",36.5,7,7,1,"outdoors","grass",89,10,3068.62655799,15.061747480512,16,15,21,3,-17
"REG","Sunday","Home",49.5,10,7,0,"outdoors","fieldturf",61,13,3016.84833832572,31.2045622475185,13,27,11,10,-15
"REG","Sunday","Home",38.5,7,7,1,"outdoors","grass",71,8,2898.72538105,6.4448571088,11,24,3,27,11
"REG","Sunday","Home",36.5,7,7,0,"outdoors","grass",37,5,3105.65061379,13.12641635605,14,12,23,9,-12
"REG","Sunday","Home",42.5,7,14,0,"outdoors","grass",66,7,3029.91900721,-17.39415378608,10,28,8,4,-22
"REG","Monday","Home",41.5,8,8,0,"dome","fieldturf",72,0,3031.55305143,-27.34348877833,7,9,20,21,-1
"REG","Sunday","Home",49,7,7,0,"outdoors","grass",44,23,2806.99549296,42.3004551891,19,9,31,15,-6
"REG","Sunday","Home",44,7,7,0,"outdoors","grass",71,5,2707.70801489,32.3854416315,28,32,28,14,-18
"REG","Sunday","Home",48.5,7,7,0,"outdoors","grass",81,12,3077.41931442,17.15046763008,32,32,32,32,0
"REG","Sunday","Home",43,7,7,0,"outdoors","grass",37,4,2952.02560621,33.0592689552,25,32,6,17,4
"REG","Sunday","Home",45.5,7,6,0,"outdoors","grass",57,10,3265.69317687,7.00964402608,15,12,11,22,14
"REG","Sunday","Home",38,14,7,1,"outdoors","grass",58,0,3101.81026509,-13.86724174813,12,31,3,24,2
"REG","Sunday","Home",49,14,7,0,"closed","grass",72,0,3153.63732988,23.705000866386,27,1,8,9,27
"REG","Sunday","Home",44,7,6,0,"outdoors","sportturf",56,7,3256.35463523,25.98422193658,13,1,31,3,-16
"REG","Thursday","Home",37.5,4,4,1,"dome","fieldturf",72,0,2938.98709059334,-165.218425439282,8,1,8,30,29
"REG","Sunday","Home",39,7,7,1,"dome","astroturf",72,0,2938.16786733,18.20615110303,14,30,1,4,-13
"REG","Sunday","Neutral",44.5,7,7,0,"outdoors","grass",59,16,3005.670952,-14.94789278,22,8,11,4,7
"REG","Sunday","Home",45.5,7,7,1,"outdoors","fieldturf",24,8,3112.63800574,4.733997614336,6,6,13,8,-5
"REG","Monday","Home",46,8,8,0,"dome","astroturf",72,0,3239.37123655,20.26475891876,1,7,11,18,1
"REG","Sunday","Home",39,7,7,0,"outdoors","grass",53,24,3061.25274607,24.8589532196,1,2,5,20,14
