"total_result","total_line","roof","surface","temp","wind","div_game"
"Under",34,"outdoors","dessograss",26,3,1
"Under",41.5,"outdoors","fieldturf",30,10,1
"Over",41.5,"outdoors","grass",54,18,0
"Under",35,"outdoors","fieldturf",61,5,1
"Over",44,"outdoors","fieldturf",46,3,1
"Over",39,"outdoors","grass",50,15,1
"Under",40.5,"outdoors","grass",55,0,0
"Under",42.5,"dome","astroturf",72,0,0
"Over",33,"outdoors","sportturf",42,7,0
"Over",33,"outdoors","astroplay",52,17,0
"Under",46,"outdoors","grass",65,8,1
"Over",34,"outdoors","grass",44,12,1
"Under",41,"closed","grass",72,0,0
"Under",37,"outdoors","grass",32,2,0
"Over",37.5,"outdoors","grass",43,8,0
"Over",46,"dome","astroturf",72,0,0
"Under",45.5,"outdoors","grass",62,7,0
"Under",41,"outdoors","grass",46,0,0
"Under",38.5,"outdoors","grass",63,7,0
"Over",41,"outdoors","fieldturf",40,5,0
"Over",44,"outdoors","grass",32,4,0
"Under",43,"outdoors","grass",48,9,0
"Under",51.5,"outdoors","grass",59,8,1
"Over",38.5,"outdoors","fieldturf",47,0,1
"Under",51,"outdoors","fieldturf",45,9,1
"Under",42.5,"outdoors","grass",55,8,0
"Over",56,"dome","astroturf",72,0,0
"Under",52.5,"outdoors","grass",26,4,1
"Over",35.5,"outdoors","dessograss",28,5,0
"Over",49,"dome","fieldturf",72,0,0
"Under",47,"outdoors","grass",31,16,0
"Under",51,"outdoors","grass",25,7,0
"Under",37,"outdoors","grass",17,26,0
"Over",36.5,"outdoors","dessograss",11,9,0
"Under",47,"outdoors","grass",59,12,0
"Under",50,"outdoors","grass",74,0,0
"Under",39,"outdoors","astroplay",76,0,0
"Under",45.5,"outdoors","grass",79,15,1
"Under",44.5,"outdoors","grass",74,5,1
"Under",40,"outdoors","grass",82,7,0
"Under",48.5,"outdoors","grass",81,12,0
"Over",38.5,"outdoors","grass",89,0,0
"Under",43.5,"dome","fieldturf",72,0,0
"Over",40.5,"outdoors","dessograss",75,5,0
"Under",33,"outdoors","grass",83,0,0
"Under",46,"dome","fieldturf",72,0,1
"Over",37.5,"outdoors","fieldturf",85,9,0
"Over",41,"outdoors","grass",67,8,0
"Over",46,"outdoors","grass",65,17,1
"Under",47,"outdoors","sportturf",76,5,0
"Under",41.5,"dome","fieldturf",72,0,0
"Under",44,"outdoors","grass",90,5,0
"Over",34,"outdoors","grass",76,14,1
"Under",47,"outdoors","fieldturf",74,0,0
"Under",39.5,"open","grass",72,0,0
"Under",46,"dome","fieldturf",72,0,1
"Over",43,"outdoors","grass",82,7,0
"Under",35,"outdoors","grass",91,4,0
"Under",36,"outdoors","grass",75,0,0
"Under",44,"outdoors","grass",94,0,1
"Under",41.5,"outdoors","fieldturf",60,4,0
"Under",44,"outdoors","grass",77,4,1
"Over",43,"outdoors","grass",76,7,0
"Under",37,"outdoors","fieldturf",82,8,1
"Under",53,"outdoors","grass",70,16,1
"Under",36,"outdoors","fieldturf",93,0,1
"Under",43,"outdoors","fieldturf",77,8,0
"Over",36,"outdoors","astroplay",77,12,0
"Under",39,"outdoors","grass",73,9,0
"Under",38,"outdoors","grass",65,3,0
"Under",47,"dome","fieldturf",72,0,0
"Over",37.5,"outdoors","grass",85,14,0
"Over",44.5,"dome","fieldturf",72,0,0
"Over",34.5,"outdoors","fieldturf",69,10,0
"Under",47,"outdoors","grass",75,0,0
"Over",46,"dome","fieldturf",72,0,0
"Over",42,"outdoors","fieldturf",60,0,1
"Over",41,"outdoors","grass",72,0,0
"Over",41.5,"outdoors","dessograss",83,7,0
"Over",42.5,"outdoors","grass",68,8,0
"Under",49,"outdoors","grass",72,6,1
"Under",41.5,"outdoors","fieldturf",79,2,0
"Under",37.5,"outdoors","grass",82,10,0
"Over",47,"outdoors","grass",73,0,0
"Under",38.5,"dome","fieldturf",72,0,0
"Over",46,"outdoors","fieldturf",78,1,0
"Under",35,"outdoors","grass",87,10,0
"Under",45,"outdoors","grass",82,9,1
"Under",37,"outdoors","grass",80,7,0
"Under",31.5,"outdoors","sportturf",79,6,0
"Under",44.5,"dome","fieldturf",72,0,0
"Over",46.5,"outdoors","grass",87,17,0
"Under",46,"outdoors","grass",66,10,0
"Over",42,"outdoors","grass",66,13,1
"Over",43,"outdoors","grass",75,3,0
"Over",43.5,"dome","fieldturf",72,0,0
"Over",33,"outdoors","astroplay",50,8,1
"Under",35,"outdoors","grass",52,6,0
"Over",33,"dome","fieldturf",72,0,0
"Over",41,"outdoors","grass",52,10,0
"Over",40.5,"closed","grass",72,0,1
"Under",32,"outdoors","fieldturf",57,7,0
"Over",48,"dome","fieldturf",72,0,1
"Under",47,"outdoors","grass",64,3,0
"Over",42,"outdoors","grass",81,10,0
"Under",44,"outdoors","fieldturf",77,0,1
"Over",34.5,"outdoors","grass",50,7,0
"Over",38,"outdoors","grass",80,5,0
"Over",45.5,"outdoors","grass",64,8,0
"Under",33.5,"outdoors","sportturf",67,22,1
"Under",37.5,"outdoors","grass",57,9,1
"Under",45.5,"outdoors","fieldturf",76,0,1
"Under",42,"dome","fieldturf",72,0,0
"Over",42.5,"outdoors","grass",66,7,0
"Over",42,"dome","fieldturf",72,0,1
"Over",36,"outdoors","dessograss",56,15,0
"Over",33,"outdoors","grass",81,9,0
"Over",44.5,"outdoors","grass",66,0,0
"Over",33,"outdoors","astroplay",52,15,1
"Over",44,"outdoors","grass",75,5,0
"Under",50.5,"outdoors","grass",64,7,1
"Over",45.5,"outdoors","fieldturf",57,14,0
"Over",50.5,"dome","fieldturf",72,0,0
"Over",42.5,"outdoors","grass",78,15,0
"Under",43,"outdoors","fieldturf",47,6,1
"Under",36,"outdoors","grass",47,5,0
"Over",44.5,"closed","grass",72,0,1
"Under",46,"dome","fieldturf",72,0,1
"Under",47,"outdoors","grass",53,17,0
"Under",50,"dome","fieldturf",72,0,0
"Over",38,"outdoors","grass",60,4,0
"Under",45.5,"outdoors","fieldturf",55,1,0
"Under",45,"outdoors","grass",83,5,0
"Under",32,"outdoors","grass",48,6,0
"Over",46.5,"outdoors","fieldturf",54,17,0
"Over",42,"outdoors","grass",59,0,0
"Under",41,"dome","fieldturf",72,0,0
"Over",44,"outdoors","grass",70,5,0
"Under",46,"outdoors","fieldturf",58,9,0
"Over",41,"outdoors","fieldturf",71,0,0
"Under",32.5,"dome","fieldturf",72,0,1
"Under",37.5,"open","grass",72,0,0
"Under",41,"outdoors","fieldturf",64,13,1
"Over",43,"dome","fieldturf",72,0,0
"Over",46,"outdoors","grass",67,9,0
"Under",41,"outdoors","grass",76,3,0
"Under",51,"outdoors","grass",73,8,1
"Over",44,"outdoors","grass",52,3,0
"Under",37,"outdoors","grass",61,3,0
"Under",43.5,"outdoors","grass",58,7,1
"Over",33,"outdoors","dessograss",54,2,1
"Under",36,"outdoors","sportturf",70,14,1
"Under",39,"outdoors","grass",64,18,0
"Under",37.5,"outdoors","grass",79,3,1
"Under",51.5,"outdoors","grass",55,8,1
"Under",39.5,"outdoors","grass",80,8,0
"Over",37.5,"dome","fieldturf",72,0,1
"Over",41.5,"outdoors","fieldturf",63,12,0
"Over",36.5,"outdoors","grass",84,8,1
"Over",44,"outdoors","grass",79,0,1
"Over",34.5,"outdoors","grass",85,0,0
"Under",42,"outdoors","grass",61,5,0
"Under",42,"outdoors","grass",49,16,0
"Under",41,"outdoors","grass",68,15,1
"Over",46.5,"outdoors","grass",51,8,0
"Under",42.5,"outdoors","astroplay",61,18,0
"Under",33,"outdoors","grass",51,26,0
"Over",40,"dome","fieldturf",72,0,0
"Over",45,"dome","fieldturf",72,0,1
"Under",34,"outdoors","grass",75,8,0
"Under",40,"outdoors","grass",82,18,1
"Under",45,"outdoors","fieldturf",62,14,0
"Under",40.5,"outdoors","grass",68,5,0
"Over",47,"outdoors","grass",61,8,1
"Over",42,"dome","fieldturf",72,0,0
"Under",48.5,"outdoors","fieldturf",47,8,1
"Over",34,"outdoors","grass",81,9,0
"Over",34.5,"outdoors","dessograss",58,11,1
"Over",40,"outdoors","grass",54,3,1
"Over",38,"dome","fieldturf",72,0,1
"Under",34.5,"outdoors","sportturf",56,5,1
"Under",34.5,"outdoors","grass",45,7,0
"Under",34.5,"outdoors","grass",48,0,0
"Under",39,"outdoors","fieldturf",57,0,0
"Under",45,"outdoors","grass",51,12,0
"Over",43,"outdoors","fieldturf",57,9,1
"Over",48,"dome","fieldturf",72,0,1
"Over",38,"outdoors","grass",56,3,1
"Under",42,"outdoors","grass",55,4,0
"Over",42.5,"outdoors","grass",63,0,1
"Over",48.5,"outdoors","fieldturf",55,10,0
"Under",41,"outdoors","grass",61,4,0
"Over",42,"outdoors","grass",78,10,0
"Over",44.5,"open","grass",72,0,0
"Under",45,"outdoors","grass",36,7,1
"Under",40.5,"dome","fieldturf",72,0,0
"Over",41,"outdoors","fieldturf",68,0,0
"Under",36.5,"outdoors","astroplay",41,7,0
"Over",36.5,"outdoors","fieldturf",56,5,1
"Over",44.5,"open","grass",72,0,0
"Under",51,"outdoors","grass",58,8,0
"Under",40,"dome","fieldturf",72,0,0
"Under",33,"outdoors","grass",76,10,0
"Over",42.5,"outdoors","grass",63,21,0
"Under",44,"outdoors","grass",52,0,0
"Under",41.5,"outdoors","grass",58,14,0
"Over",42.5,"outdoors","grass",52,0,0
"Under",41.5,"outdoors","grass",50,4,0
"Under",47.5,"outdoors","fieldturf",42,5,0
"Over",37,"outdoors","fieldturf",49,7,0
"Under",47,"dome","fieldturf",72,0,0
"Under",37,"outdoors","sportturf",47,10,0
"Under",43.5,"outdoors","grass",60,12,1
"Under",32,"outdoors","grass",26,12,1
"Under",36.5,"outdoors","grass",28,10,0
"Under",38,"dome","fieldturf",72,0,1
"Under",47.5,"dome","fieldturf",72,0,1
"Over",35.5,"outdoors","grass",77,8,1
"Under",39,"outdoors","grass",74,9,1
"Under",41,"outdoors","fieldturf",30,7,1
"Over",43,"outdoors","dessograss",30,10,1
"Under",43.5,"outdoors","grass",54,3,1
"Under",45,"dome","fieldturf",72,0,0
"Over",47,"outdoors","grass",28,8,1
"Under",42.5,"outdoors","grass",26,4,1
"Under",50.5,"outdoors","grass",56,8,1
"Under",44,"outdoors","grass",31,6,0
"Over",38,"outdoors","astroplay",30,15,1
"Under",37,"outdoors","grass",52,10,1
"Over",41.5,"outdoors","fieldturf",36,18,1
"Over",43,"outdoors","grass",55,10,1
"Under",45.5,"dome","fieldturf",72,0,0
"Under",37.5,"outdoors","fieldturf",39,12,0
"Under",32,"outdoors","dessograss",32,12,0
"Under",44,"outdoors","grass",43,12,1
"Under",41.5,"outdoors","grass",66,0,0
"Over",40,"outdoors","grass",38,7,1
"Under",45,"outdoors","fieldturf",36,1,1
"Over",44,"outdoors","fieldturf",64,0,0
"Under",40.5,"outdoors","grass",41,5,0
"Under",45,"outdoors","grass",69,8,0
"Under",37,"outdoors","grass",14,8,1
"Over",44,"dome","fieldturf",72,0,1
"Under",36,"outdoors","grass",38,0,0
"Under",45.5,"outdoors","fieldturf",39,8,0
"Over",35,"outdoors","astroplay",28,0,0
"Over",43.5,"closed","grass",72,0,0
"Under",51,"dome","fieldturf",72,0,0
"Under",39.5,"outdoors","grass",49,10,0
"Over",35.5,"outdoors","grass",78,8,1
"Under",41.5,"dome","fieldturf",72,0,0
"Under",40.5,"outdoors","grass",55,8,1
"Under",44,"dome","fieldturf",72,0,0
"Over",45,"outdoors","grass",45,4,0
"Over",44,"dome","fieldturf",72,0,0
"Under",40.5,"outdoors","grass",56,18,0
"Over",36,"outdoors","grass",44,6,1
"Under",30.5,"outdoors","grass",12,8,0
"Over",33,"outdoors","sportturf",29,14,0
"Over",38.5,"outdoors","grass",60,5,0
"Over",44,"outdoors","fieldturf",51,10,0
"Over",33,"outdoors","grass",44,5,1
"Over",38,"open","grass",72,0,1
"Under",49.5,"outdoors","grass",42,10,1
"Under",43,"outdoors","grass",77,14,0
"Under",37.5,"dome","fieldturf",72,0,0
"Over",42,"dome","fieldturf",72,0,1
"Over",37.5,"outdoors","grass",66,9,1
"Over",38,"outdoors","grass",50,8,1
"Over",39.5,"outdoors","grass",75,3,0
"Under",42.5,"outdoors","grass",52,7,1
"Under",47,"outdoors","fieldturf",57,10,0
"Over",31,"outdoors","grass",34,6,1
"Over",34,"outdoors","sportturf",43,5,0
"Over",37.5,"outdoors","fieldturf",41,18,1
"Under",44,"outdoors","grass",61,8,1
"Over",44,"outdoors","grass",57,15,0
"Over",42,"dome","fieldturf",72,0,1
"Under",37,"outdoors","grass",39,6,1
"Under",40.5,"outdoors","grass",34,7,0
"Under",43.5,"dome","fieldturf",72,0,0
"Under",47,"outdoors","grass",52,10,0
"Over",37,"outdoors","grass",25,4,1
"Over",37.5,"outdoors","fieldturf",35,0,1
"Over",35.5,"outdoors","dessograss",39,6,0
"Over",37.5,"outdoors","grass",74,7,1
"Over",38,"outdoors","grass",69,7,1
"Under",37.5,"outdoors","grass",56,28,0
"Over",35,"dome","fieldturf",72,0,1
"Over",37,"outdoors","grass",43,5,1
"Under",43,"outdoors","fieldturf",75,0,0
"Under",37.5,"outdoors","grass",52,12,0
"Under",37.5,"outdoors","grass",24,0,0
"Under",43.5,"outdoors","fieldturf",44,6,0
"Over",44,"outdoors","fieldturf",61,22,1
"Under",41,"outdoors","fieldturf",44,1,0
"Under",44,"outdoors","grass",54,3,0
"Under",46.5,"dome","fieldturf",72,0,0
"Over",31,"outdoors","grass",40,15,0
"Over",41,"outdoors","grass",34,11,0
"Over",43,"outdoors","fieldturf",48,14,0
"Under",47,"dome","fieldturf",72,0,0
"Over",34.5,"outdoors","dessograss",69,1,0
"Under",39,"outdoors","grass",86,5,1
"Under",36,"outdoors","grass",68,8,0
"Under",44,"dome","fieldturf",72,0,0
"Under",37,"closed","grass",72,0,0
"Under",49.5,"outdoors","grass",67,0,0
"Under",41,"outdoors","grass",63,10,1
"Under",46,"dome","fieldturf",72,0,0
"Under",33,"outdoors","grass",87,3,0
"Over",35,"outdoors","grass",85,5,0
"Over",44,"closed","grass",72,0,1
"Under",35,"outdoors","grass",62,12,1
"Over",36.5,"outdoors","grass",82,9,0
"Under",47.5,"outdoors","fieldturf",71,7,0
"Under",35.5,"outdoors","grass",65,9,0
"Under",41.5,"outdoors","grass",74,8,1
"Under",36,"dome","fieldturf",72,0,1
"Under",34,"outdoors","sportturf",80,4,0
"Over",32,"outdoors","grass",68,7,1
"Over",40.5,"outdoors","fieldturf",79,4,1
"Over",40.5,"outdoors","grass",78,12,0
"Over",47,"dome","fieldturf",72,0,1
"Under",37,"outdoors","grass",86,10,1
"Under",37.5,"dome","fieldturf",72,0,0
"Over",42,"outdoors","grass",79,4,1
"Under",48,"outdoors","fieldturf",61,7,1
"Under",44.5,"outdoors","grass",68,3,1
"Under",38,"outdoors","grass",61,7,1
"Over",38.5,"outdoors","fieldturf",84,6,1
"Over",38.5,"outdoors","grass",88,17,0
"Under",37,"outdoors","fieldturf",73,0,1
"Under",36.5,"outdoors","grass",79,5,0
"Over",33,"outdoors","astroplay",65,20,1
"Over",41,"dome","fieldturf",72,0,1
"Over",37.5,"closed","grass",72,0,0
"Under",41.5,"dome","fieldturf",72,0,1
"Under",36,"outdoors","grass",88,12,0
"Under",35,"dome","fieldturf",72,0,1
"Over",42,"outdoors","dessograss",69,15,1
"Over",33.5,"outdoors","grass",89,3,1
"Under",33,"outdoors","grass",68,12,1
"Under",45,"closed","grass",72,0,1
"Over",43,"outdoors","fieldturf",65,6,0
"Over",42.5,"outdoors","grass",66,5,0
"Under",38.5,"outdoors","grass",68,12,0
"Under",45,"dome","fieldturf",72,0,1
"Over",41,"dome","fieldturf",72,0,0
"Under",33.5,"outdoors","sportturf",68,7,0
"Under",34.5,"outdoors","astroplay",58,11,0
"Under",41,"outdoors","grass",82,6,1
"Under",41,"closed","grass",72,0,0
"Over",39,"outdoors","grass",82,15,0
"Over",46.5,"outdoors","fieldturf",62,2,0
"Over",37,"outdoors","grass",75,0,0
"Over",42,"dome","fieldturf",72,0,0
"Over",46,"outdoors","fieldturf",75,9,0
"Over",33.5,"outdoors","grass",63,0,0
"Over",33.5,"outdoors","grass",72,3,0
"Over",37,"outdoors","grass",69,5,0
"Under",49.5,"outdoors","grass",59,2,0
"Under",38,"outdoors","grass",60,7,0
"Over",34.5,"outdoors","grass",56,5,0
"Under",46.5,"outdoors","grass",69,22,0
"Under",47.5,"dome","fieldturf",72,0,1
"Over",41,"dome","fieldturf",72,0,1
"Under",36.5,"outdoors","grass",65,4,1
"Over",34.5,"dome","fieldturf",72,0,1
"Under",46,"outdoors","fieldturf",66,1,1
"Over",40,"closed","grass",72,0,0
"Over",38.5,"outdoors","grass",75,5,0
"Over",39,"outdoors","grass",65,3,0
"Over",43.5,"outdoors","grass",70,3,1
"Under",37,"outdoors","grass",67,9,0
"Under",33,"outdoors","grass",39,7,0
"Under",41,"dome","fieldturf",72,0,0
"Over",33.5,"outdoors","sportturf",58,11,0
"Under",43.5,"outdoors","fieldturf",66,8,0
"Under",41,"dome","fieldturf",72,0,0
"Over",47,"dome","fieldturf",72,0,0
"Over",45,"dome","fieldturf",72,0,1
"Under",44,"outdoors","grass",77,8,0
"Over",39,"outdoors","grass",59,6,0
"Over",36,"outdoors","fieldturf",57,13,1
"Over",37,"outdoors","dessograss",52,6,0
"Over",41.5,"outdoors","grass",57,12,0
"Under",36,"outdoors","grass",64,3,1
"Over",40,"open","grass",72,0,0
"Over",39.5,"dome","fieldturf",72,0,0
"Under",35.5,"outdoors","astroplay",50,14,1
"Under",44,"outdoors","fieldturf",48,18,0
"Under",39.5,"open","grass",72,0,1
"Over",38,"outdoors","grass",40,9,1
"Over",40,"outdoors","grass",86,9,0
"Over",43.5,"outdoors","fieldturf",57,8,0
"Over",42,"outdoors","grass",88,8,0
"Under",31,"outdoors","grass",48,15,0
"Over",47,"dome","fieldturf",72,0,0
"Under",39.5,"outdoors","grass",67,6,0
"Over",40,"outdoors","fieldturf",60,5,0
"Over",43.5,"outdoors","fieldturf",63,6,1
"Over",41.5,"outdoors","grass",46,9,0
"Over",44.5,"outdoors","fieldturf",56,11,0
"Over",44.5,"outdoors","grass",45,10,0
"Over",36.5,"outdoors","grass",67,5,0
"Over",37,"dome","fieldturf",72,0,0
"Under",38.5,"outdoors","fieldturf",53,20,0
"Under",39,"outdoors","grass",53,24,0
"Over",41,"outdoors","grass",72,8,1
"Over",45,"outdoors","grass",72,6,0
"Under",37,"outdoors","grass",46,12,0
"Over",40,"outdoors","grass",70,4,0
"Under",39,"outdoors","grass",62,10,0
"Over",41,"outdoors","grass",53,5,0
"Under",39.5,"dome","fieldturf",72,0,0
"Over",41.5,"outdoors","sportturf",50,3,1
"Under",41,"outdoors","astroplay",47,10,0
"Over",37,"outdoors","grass",54,8,0
"Under",47.5,"dome","fieldturf",72,0,0
"Over",37.5,"outdoors","grass",69,20,1
"Under",43,"outdoors","fieldturf",46,1,0
"Under",48,"dome","fieldturf",72,0,0
"Over",37.5,"outdoors","grass",81,16,1
"Under",41,"outdoors","grass",51,6,1
"Under",42.5,"outdoors","grass",62,7,0
"Over",36.5,"outdoors","dessograss",53,5,0
"Over",41,"outdoors","grass",87,3,0
"Under",48,"outdoors","grass",31,0,0
"Under",34,"outdoors","fieldturf",62,17,0
"Under",42,"dome","fieldturf",72,0,0
"Over",48,"outdoors","fieldturf",42,9,0
"Under",46,"dome","fieldturf",72,0,0
"Under",44.5,"dome","fieldturf",72,0,0
"Under",37,"outdoors","grass",56,10,1
"Under",40,"outdoors","grass",81,9,0
"Under",40,"dome","fieldturf",72,0,1
"Under",38,"outdoors","grass",58,0,1
"Under",41.5,"outdoors","grass",61,14,1
"Over",38.5,"outdoors","grass",47,11,0
"Under",33.5,"outdoors","grass",56,0,1
"Under",43,"open","grass",72,0,0
"Over",45.5,"outdoors","dessograss",39,9,0
"Over",43,"outdoors","fieldturf",48,17,1
"Over",37,"outdoors","fieldturf",48,9,0
"Under",37,"outdoors","grass",58,3,1
"Under",41,"outdoors","sportturf",49,8,0
"Under",44,"outdoors","grass",58,8,0
"Over",36,"outdoors","grass",38,6,1
"Under",45.5,"outdoors","grass",41,12,0
"Over",36.5,"open","grass",72,0,0
"Under",36,"outdoors","grass",41,6,1
"Over",34,"outdoors","grass",68,9,0
"Under",51.5,"dome","fieldturf",72,0,0
"Under",39,"outdoors","fieldturf",47,5,0
"Under",44,"outdoors","grass",50,7,0
"Over",33.5,"outdoors","grass",69,11,0
"Under",45.5,"closed","grass",72,0,0
"Under",43,"outdoors","grass",59,5,1
"Under",49,"outdoors","fieldturf",63,10,0
"Over",43,"outdoors","grass",34,8,1
"Under",38,"outdoors","grass",45,7,0
"Under",40.5,"dome","fieldturf",72,0,0
"Over",39,"outdoors","fieldturf",76,0,0
"Under",39,"outdoors","grass",65,10,1
"Under",48,"dome","fieldturf",72,0,1
"Under",40.5,"outdoors","sportturf",57,4,1
"Over",35,"outdoors","astroplay",60,12,0
"Under",44,"outdoors","grass",61,5,1
"Over",39,"dome","fieldturf",72,0,0
"Under",40.5,"outdoors","fieldturf",56,10,0
"Under",44.5,"dome","fieldturf",72,0,1
"Under",36.5,"outdoors","grass",60,3,0
"Under",43,"outdoors","grass",64,8,1
"Under",38,"outdoors","fieldturf",54,7,0
"Under",45,"outdoors","grass",69,8,0
"Over",44,"dome","fieldturf",72,0,0
"Over",42,"outdoors","fieldturf",34,7,0
"Under",42,"outdoors","fieldturf",55,4,1
"Over",40,"outdoors","astroplay",35,11,0
"Over",34,"outdoors","grass",20,15,1
"Over",36,"outdoors","grass",31,12,0
"Over",39,"outdoors","grass",19,18,0
"Over",41,"outdoors","fieldturf",44,7,0
"Under",45,"dome","fieldturf",72,0,0
"Over",45.5,"dome","fieldturf",72,0,1
"Under",47,"outdoors","grass",40,11,1
"Under",39,"outdoors","grass",44,5,0
"Under",35.5,"outdoors","grass",81,11,0
"Over",35,"outdoors","grass",56,8,0
"Under",43,"outdoors","fieldturf",45,9,1
"Under",39.5,"outdoors","dessograss",42,7,0
"Over",41,"outdoors","grass",16,0,0
"Over",37.5,"outdoors","grass",32,8,0
"Under",34,"outdoors","dessograss",20,12,1
"Over",38.5,"outdoors","grass",47,6,0
"Under",40,"outdoors","fieldturf",50,10,0
"Over",40.5,"dome","fieldturf",72,0,1
"Over",42,"closed","grass",72,0,1
"Over",44,"outdoors","grass",65,15,1
"Under",37,"outdoors","grass",49,13,0
"Under",37,"outdoors","grass",77,21,1
"Under",37.5,"outdoors","grass",72,14,1
"Under",40,"outdoors","grass",51,7,1
"Over",44.5,"closed","grass",72,0,1
"Over",44,"outdoors","grass",58,15,0
"Over",38,"outdoors","fieldturf",54,10,1
"Over",41,"outdoors","grass",57,13,1
"Over",47,"outdoors","fieldturf",48,0,0
"Over",41.5,"dome","fieldturf",72,0,0
"Under",38,"outdoors","fieldturf",52,20,1
"Over",45,"dome","fieldturf",72,0,0
"Over",35.5,"outdoors","sportturf",58,9,1
"Under",34,"outdoors","astroplay",53,18,1
"Over",39,"outdoors","grass",68,5,0
"Over",35,"outdoors","grass",46,0,0
"Under",45,"outdoors","grass",41,10,1
"Under",41,"dome","fieldturf",72,0,0
"Over",37.5,"outdoors","fieldturf",52,10,0
"Under",47,"dome","fieldturf",72,0,0
"Over",40.5,"outdoors","grass",70,8,1
"Over",44,"open","grass",72,0,0
"Over",45.5,"outdoors","fieldturf",56,7,1
"Under",40,"outdoors","grass",52,6,0
"Under",46.5,"outdoors","grass",57,12,1
"Under",55,"dome","fieldturf",72,0,0
"Under",38,"outdoors","grass",36,10,1
"Under",36.5,"outdoors","grass",55,0,1
"Under",40.5,"dome","fieldturf",72,0,1
"Over",37.5,"outdoors","astroplay",39,15,0
"Under",37.5,"outdoors","grass",41,8,0
"Over",41.5,"dome","fieldturf",72,0,1
"Over",47,"closed","grass",72,0,1
"Over",36.5,"outdoors","grass",65,7,0
"Under",47,"outdoors","fieldturf",52,20,0
"Over",37,"outdoors","dessograss",41,10,1
"Over",43,"dome","fieldturf",72,0,0
"Over",45,"outdoors","grass",50,5,1
"Over",44.5,"outdoors","grass",32,14,0
"Under",45,"outdoors","fieldturf",47,18,0
"Under",47.5,"outdoors","fieldturf",50,0,1
"Under",36,"outdoors","grass",71,18,1
"Over",43,"outdoors","grass",48,7,1
"Under",45,"outdoors","fieldturf",54,8,1
"Over",45.5,"outdoors","fieldturf",45,0,0
"Under",38,"open","grass",72,0,0
"Over",36.5,"outdoors","grass",40,10,0
"Over",43,"dome","fieldturf",72,0,0
"Over",38,"dome","fieldturf",72,0,1
"Under",34,"outdoors","fieldturf",40,0,0
"Under",37,"outdoors","grass",78,10,0
"Over",41,"outdoors","grass",63,13,0
"Under",37,"outdoors","sportturf",46,10,0
"Over",39,"outdoors","grass",32,4,0
"Over",44,"dome","fieldturf",72,0,0
"Under",43,"outdoors","grass",47,6,0
"Over",44.5,"outdoors","grass",57,4,0
"Under",37,"outdoors","grass",50,10,1
"Under",50.5,"dome","fieldturf",72,0,0
"Under",48,"outdoors","fieldturf",44,15,0
"Over",38.5,"outdoors","fieldturf",50,8,1
"Under",45.5,"outdoors","grass",52,5,1
"Under",41,"outdoors","sportturf",63,4,0
"Over",48.5,"dome","fieldturf",72,0,0
"Over",37.5,"outdoors","grass",32,0,0
"Under",45.5,"outdoors","grass",53,6,0
"Over",42.5,"outdoors","grass",28,10,0
"Over",47,"dome","fieldturf",72,0,0
"Under",47,"outdoors","grass",67,10,0
"Under",52.5,"dome","fieldturf",72,0,0
"Under",38,"outdoors","astroplay",70,5,0
"Over",36.5,"outdoors","grass",71,5,1
"Under",41.5,"outdoors","grass",62,9,0
"Under",37.5,"closed","grass",72,0,0
"Under",39.5,"outdoors","grass",86,0,1
"Under",34.5,"dome","fieldturf",72,0,0
"Over",41.5,"outdoors","fieldturf",84,10,1
"Under",43,"dome","fieldturf",72,0,0
"Under",34,"outdoors","grass",82,7,0
"Over",39.5,"outdoors","grass",66,8,0
"Under",43,"outdoors","grass",73,8,0
"Under",40.5,"outdoors","fieldturf",67,12,0
"Over",44,"outdoors","fieldturf",78,0,1
"Over",39.5,"outdoors","fieldturf",82,5,1
"Under",47,"outdoors","grass",64,18,1
"Over",38,"outdoors","grass",74,10,0
"Over",41.5,"outdoors","grass",59,6,1
"Under",34.5,"outdoors","grass",88,9,0
"Over",40,"outdoors","fieldturf",64,7,0
"Under",39.5,"outdoors","dessograss",59,4,0
"Under",44,"dome","fieldturf",72,0,1
"Over",41.5,"outdoors","grass",88,7,1
"Under",45,"outdoors","grass",67,6,1
"Over",42.5,"closed","grass",72,0,1
"Under",42.5,"dome","fieldturf",72,0,1
"Over",39.5,"outdoors","grass",89,9,0
"Under",33,"outdoors","sportturf",69,3,0
"Under",35,"outdoors","grass",70,11,0
"Over",37,"outdoors","grass",87,0,1
"Over",46,"outdoors","fieldturf",55,5,0
"Under",39,"outdoors","grass",62,6,1
"Over",35.5,"outdoors","sportturf",75,9,0
"Over",42.5,"outdoors","grass",73,11,0
"Over",46,"closed","grass",72,0,1
"Under",34,"outdoors","grass",83,5,0
"Over",41,"outdoors","fieldturf",74,10,1
"Over",36.5,"outdoors","fieldturf",72,8,1
"Over",44.5,"outdoors","grass",76,12,0
"Over",37.5,"outdoors","dessograss",72,6,0
"Under",38.5,"outdoors","grass",86,5,0
"Over",36,"outdoors","grass",75,10,0
"Over",41.5,"outdoors","grass",67,10,0
"Under",49.5,"outdoors","fieldturf",54,0,0
"Over",38,"dome","fieldturf",72,0,1
"Under",41.5,"outdoors","grass",82,4,1
"Over",41,"outdoors","grass",79,0,0
"Under",46,"dome","fieldturf",72,0,0
"Over",39,"dome","fieldturf",72,0,0
"Under",37.5,"outdoors","astroplay",70,10,1
