"total_result","total_line","roof","surface","temp","wind","div_game"
"Under",41,"outdoors","grass",22,20,0
"Under",34,"outdoors","astroturf",34,18,0
"Over",49.5,"dome","astroturf",72,0,0
"Under",42,"outdoors","grass",58,6,0
"Under",34,"outdoors","grass",48,6,1
"Under",33.5,"outdoors","grass",39,5,1
"Under",41.5,"outdoors","grass",35,5,0
"Under",38,"outdoors","grass",56,12,0
"Over",33,"outdoors","grass",65,8,0
"Under",33.5,"outdoors","grass",83,10,0
"Under",37.5,"outdoors","astroturf",87,10,0
"Over",36,"outdoors","grass",79,8,0
"Under",38.5,"outdoors","grass",81,12,0
"Under",34,"outdoors","astroturf",69,10,0
"Under",41.5,"outdoors","grass",60,5,1
"Under",37.5,"outdoors","grass",83,10,1
"Over",43,"outdoors","grass",64,12,1
"Under",45,"dome","astroturf",72,0,0
"Over",44.5,"outdoors","grass",81,6,1
"Under",46,"outdoors","fieldturf",82,5,0
"Under",36.5,"outdoors","grass",68,8,0
"Under",46,"outdoors","grass",68,12,1
"Over",34,"outdoors","grass",81,7,0
"Over",43.5,"outdoors","grass",75,9,0
"Under",41,"dome","astroturf",72,0,1
"Under",43.5,"outdoors","grass",63,5,1
"Under",33.5,"outdoors","grass",73,8,1
"Over",33,"outdoors","grass",66,6,0
"Over",34,"outdoors","astroturf",79,0,0
"Over",44.5,"dome","astroturf",72,0,1
"Under",36,"outdoors","grass",84,10,1
"Under",39,"outdoors","grass",64,14,0
"Under",40,"outdoors","grass",88,9,0
"Under",38.5,"outdoors","grass",74,10,1
"Under",37,"outdoors","fieldturf",65,4,0
"Over",50,"outdoors","grass",59,10,1
"Over",45,"outdoors","grass",103,6,0
"Under",41,"outdoors","grass",46,12,0
"Under",36,"outdoors","astroturf",63,7,0
"Under",41,"outdoors","grass",64,14,0
"Under",39,"dome","astroturf",72,0,1
"Over",45,"outdoors","grass",59,20,1
"Under",37,"outdoors","grass",54,10,0
"Over",44,"dome","astroturf",72,0,0
"Over",35.5,"outdoors","grass",57,19,0
"Over",42,"outdoors","grass",104,20,0
"Under",41,"outdoors","grass",71,5,0
"Over",35.5,"outdoors","grass",72,12,1
"Over",39,"outdoors","grass",81,7,1
"Over",39,"outdoors","grass",78,8,0
"Over",34.5,"outdoors","fieldturf",53,13,1
"Under",44.5,"outdoors","grass",52,0,0
"Under",39.5,"dome","astroturf",72,0,0
"Under",33.5,"outdoors","grass",55,11,1
"Over",35,"outdoors","grass",45,12,0
"Over",35,"outdoors","grass",88,0,1
"Under",44,"dome","astroturf",72,0,0
"Under",36,"outdoors","grass",55,16,1
"Under",41,"outdoors","fieldturf",53,17,1
"Under",35.5,"outdoors","grass",44,20,1
"Over",36,"outdoors","astroturf",45,16,1
"Under",48,"outdoors","grass",74,9,1
"Over",35,"outdoors","fieldturf",50,6,0
"Over",41.5,"outdoors","grass",59,10,0
"Under",36.5,"outdoors","grass",80,9,1
"Under",45,"outdoors","grass",52,10,1
"Under",48.5,"dome","astroturf",72,0,0
"Over",43.5,"dome","astroturf",72,0,1
"Over",39.5,"outdoors","grass",71,16,1
"Under",39.5,"outdoors","grass",54,9,0
"Over",35,"outdoors","grass",57,10,1
"Over",34,"outdoors","grass",54,12,0
"Over",36,"outdoors","grass",57,15,0
"Over",44,"dome","astroturf",72,0,1
"Over",36,"outdoors","grass",59,15,0
"Under",45,"dome","astroturf",72,0,0
"Over",33,"outdoors","grass",64,10,0
"Under",38,"outdoors","grass",62,12,1
"Over",44,"outdoors","fieldturf",54,7,1
"Under",52,"dome","astroturf",72,0,0
"Under",37,"outdoors","astroturf",65,0,1
"Under",38.5,"outdoors","grass",66,13,0
"Under",36,"outdoors","grass",68,8,0
"Over",33,"outdoors","grass",61,12,1
"Over",38.5,"dome","astroturf",72,0,0
"Over",48,"dome","astroturf",72,0,1
"Under",42,"dome","astroturf",72,0,1
"Over",46.5,"outdoors","grass",70,10,0
"Under",33.5,"outdoors","grass",83,9,0
"Under",36,"outdoors","grass",71,7,0
"Under",41,"outdoors","grass",88,2,0
"Under",43.5,"outdoors","grass",66,8,1
"Over",47.5,"dome","astroturf",72,0,1
"Under",35.5,"outdoors","grass",61,7,1
"Over",47.5,"outdoors","grass",55,12,0
"Over",33,"outdoors","grass",50,20,1
"Under",39,"outdoors","grass",51,10,0
"Over",39,"outdoors","grass",46,15,0
"Over",39.5,"dome","astroturf",72,0,0
"Over",48.5,"dome","astroturf",72,0,1
"Over",38.5,"outdoors","grass",67,15,1
"Under",38,"outdoors","astroturf",70,5,1
"Over",33.5,"outdoors","grass",50,21,1
"Over",43,"outdoors","grass",72,9,0
"Under",39,"outdoors","fieldturf",52,17,0
"Over",39,"outdoors","grass",62,7,0
"Over",36.5,"outdoors","fieldturf",43,7,0
"Over",36,"outdoors","grass",51,5,1
"Under",42.5,"dome","astroturf",72,0,0
"Under",44.5,"outdoors","astroturf",54,20,1
"Over",37,"outdoors","grass",52,12,1
"Under",34.5,"outdoors","grass",75,17,0
"Over",35.5,"outdoors","grass",58,5,1
"Under",33,"outdoors","grass",59,0,1
"Over",37.5,"outdoors","grass",67,7,1
"Under",39.5,"outdoors","grass",94,16,1
"Under",47,"outdoors","grass",64,5,0
"Over",34,"outdoors","grass",54,10,0
