"total_result","game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"Under","REG","Monday","Home",45.5,8,15,1,"outdoors","grass",63,8,3106.29327102,11.53173997563,15,1,19,2,-3
"Under","REG","Sunday","Home",44,7,7,1,"outdoors","grass",61,5,2971.66359371,5.99912064962,30,30,32,8,-24
"Under","REG","Sunday","Home",57,7,7,0,"outdoors","grass",28,14,3348.64973562,62.7187062455,10,5,13,7,-1
"Under","REG","Sunday","Home",38,10,7,0,"outdoors","dessograss",22,16,3241.80395912,39.23434812744,23,27,2,9,3
"Under","REG","Sunday","Home",43.5,7,7,0,"outdoors","fieldturf",61,2,3056.47490992,12.40105358535,32,32,32,32,0
"Under","REG","Sunday","Home",41,7,7,1,"outdoors","grass",49,10,3055.72787471,-8.07768884,4,4,9,11,2
"Over","REG","Thursday","Home",49,4,4,1,"outdoors","grass",54,9,2971.44728331934,23.9555642107735,11,24,15,14,-14
"Over","REG","Sunday","Home",45,7,14,0,"outdoors","grass",68,9,3063.84671611,19.37205363238,1,5,18,22,0
"Over","REG","Sunday","Home",43.5,7,7,0,"outdoors","grass",74,3,2949.22100876,-39.57061180007,6,22,11,30,3
"Over","REG","Sunday","Home",38,6,14,0,"outdoors","grass",61,8,3092.90368385,14.24987093925,24,20,22,8,-10
"Under","REG","Sunday","Home",38,7,7,1,"outdoors","grass",62,12,3062.84491686,4.6594887217,20,18,5,18,15
"Over","REG","Sunday","Home",51.5,8,7,1,"outdoors","fieldturf",48,8,3069.82070286,-42.8370963152,12,8,22,4,-14
"Over","REG","Sunday","Home",37.5,6,7,0,"dome","fieldturf",72,0,2602.73099561,6.236775280026,25,25,21,32,11
"Over","REG","Sunday","Home",41,7,14,1,"outdoors","grass",48,9,2833.18217959027,2.76343218568558,25,5,26,20,14
"Over","REG","Monday","Home",45,15,11,0,"outdoors","grass",62,0,2826.19283276,-113.95915067174,12,10,6,14,10
"Under","REG","Sunday","Home",41.5,7,7,1,"outdoors","grass",78,8,2911.58028913,-17.4840190893,10,3,13,26,20
"Under","REG","Sunday","Home",38,7,14,0,"outdoors","grass",78,12,3008.98055766,-11.40766434689,11,6,8,24,21
"Over","REG","Sunday","Home",38.5,7,7,1,"outdoors","grass",76,8,3058.01420293,-1.64287284914,23,14,7,25,27
"Over","REG","Sunday","Home",37,7,7,0,"outdoors","fieldturf",52,13,2829.30448753,-6.8196264153,29,5,28,22,18
"Under","REG","Sunday","Home",37.5,7,7,0,"outdoors","grass",67,8,2938.48463546,32.076544914659,26,8,6,11,23
"Over","REG","Monday","Neutral",45.5,8,15,0,"outdoors","grass",63,6,3091.20121737,20.44714301504,4,5,13,26,12
"Under","REG","Sunday","Home",43,7,7,0,"dome","fieldturf",72,0,2967.01031572,12.05573968782,9,18,5,13,-1
"Under","REG","Sunday","Home",35,6,7,1,"outdoors","grass",64,10,3205.96122662,9.28607918198,17,22,18,7,-16
"Over","REG","Sunday","Home",56.5,10,7,0,"dome","astroturf",72,0,3177.29829418,19.821276898337,1,15,6,4,-16
"Under","REG","Saturday","Home",45,7,6,1,"outdoors","fieldturf",40,6,3079.04228718,-11.4603541307,4,9,8,22,9
"Over","REG","Sunday","Home",47.5,7,7,1,"outdoors","fieldturf",56,0,3048.95003305204,0.184947201445036,12,4,6,10,12
"Under","REG","Sunday","Home",35.5,7,7,0,"outdoors","grass",60,5,2914.50497959,-97.884593043487,13,7,8,23,21
"Over","REG","Sunday","Home",46.5,7,7,0,"dome","astroturf",72,0,3042.03704013,-7.3502163021,4,10,21,17,-10
"Under","REG","Saturday","Home",43,6,6,1,"outdoors","grass",38,7,2916.33495994,64.5190213582,28,30,24,12,-14
"Under","REG","Monday","Home",43,8,11,0,"outdoors","grass",21,4,3120.41517957,29.09693524176,3,10,26,13,-20
"Over","REG","Sunday","Home",45.5,6,7,1,"outdoors","grass",78,11,3000.88265182,29.36843453192,17,15,7,7,2
"Over","REG","Sunday","Home",44.5,10,7,1,"outdoors","grass",54,15,3064.41921988,8.7124746834,8,19,15,7,-19
"Under","REG","Sunday","Home",44.5,7,7,1,"dome","astroturf",72,0,3178.17769079,-33.3230285287,3,17,13,25,-2
"Under","REG","Sunday","Neutral",47.5,7,7,0,"outdoors","grass",52,10,2917.06760816,-0.29798125589,5,22,30,25,-22
"Over","REG","Sunday","Home",36.5,7,7,0,"outdoors","grass",40,9,3022.63319554,3.22566226491,11,30,3,27,5
"Over","REG","Sunday","Home",39,7,6,0,"dome","sportturf",72,0,3144.77818972,42.23231319771,26,19,10,22,19
"Over","REG","Sunday","Home",38.5,7,7,1,"outdoors","fieldturf",37,2,2985.89160148,6.89275994789,18,23,30,21,-14
"Over","REG","Sunday","Home",41,7,7,0,"outdoors","sportturf",41,5,3091.06012607,-123.5100217267,14,28,27,21,-20
"Under","REG","Monday","Home",56.5,8,8,0,"outdoors","grass",53,9,3072.14950026605,23.8450968020842,2,11,15,7,-17
"Under","REG","Sunday","Home",42.5,7,6,0,"outdoors","grass",70,15,3013.53326897,-6.440217246046,16,16,6,3,-3
"Over","REG","Sunday","Home",45,10,7,0,"outdoors","fieldturf",50,14,3097.33178048,18.59544416459,12,16,28,28,-4
"Under","REG","Sunday","Home",40,7,14,0,"outdoors","grass",56,17,2872.90843533,4.290237477591,16,7,10,13,12
"Over","REG","Sunday","Home",44,10,7,0,"outdoors","fieldturf",52,3,2978.96898633,-123.21629475204,17,13,10,22,16
"Over","REG","Thursday","Home",44.5,4,4,1,"outdoors","grass",64,4,2919.7192856,-39.55562030083,2,24,15,19,-18
"Under","REG","Sunday","Home",47,9,7,1,"outdoors","grass",57,2,3150.26220862188,15.5685323926193,20,6,28,11,-3
"Over","REG","Sunday","Home",40.5,7,7,0,"dome","fieldturf",72,0,2861.50253804,-11.30999253236,7,11,15,5,-14
"Over","REG","Sunday","Home",44,7,7,1,"outdoors","grass",64,6,2911.08769779,-45.5063699407,18,5,24,20,9
"Under","REG","Sunday","Home",41,7,7,1,"outdoors","fieldturf",16,16,2821.28088931,-13.25837577927,25,13,15,13,10
"Over","REG","Sunday","Home",42,7,7,1,"outdoors","grass",39,4,2687.81476701,4.4853345367,25,20,32,31,4
"Over","REG","Sunday","Home",51,7,7,1,"outdoors","grass",75,1,3171.43881028,27.63177143511,2,22,21,20,-21
"Over","REG","Sunday","Home",33.5,7,7,1,"outdoors","grass",20,10,2995.1260643,16.501963828,27,17,16,3,-3
"Over","REG","Sunday","Home",51.5,7,7,0,"dome","grass",72,0,3083.05716548635,14.6276793090456,16,1,17,15,13
"Under","REG","Sunday","Home",44.5,14,6,1,"dome","matrixturf",72,0,3132.66380901967,-22.6078003573422,6,13,19,13,-13
"Over","REG","Sunday","Home",45.5,7,7,0,"closed","matrixturf",72,0,3047.76928163,28.24885229838,9,18,7,19,3
"Under","REG","Sunday","Home",36.5,7,7,0,"outdoors","grass",85,6,3083.64996816,15.23402002233,21,6,1,9,23
"Over","REG","Sunday","Home",42.5,7,7,0,"dome","astroplay",72,0,2864.66471884,7.1397233446,27,27,17,1,-16
"Over","REG","Sunday","Home",41,7,7,0,"closed","grass",72,0,3046.05341897,-28.296484766431,32,32,32,32,0
"Over","REG","Sunday","Home",48.5,6,7,0,"outdoors","grass",56,4,3065.59272504,17.3419795163,12,31,28,11,-36
"Over","REG","Sunday","Home",49.5,7,7,1,"outdoors","grass",82,13,3094.27624922,12.819824427017,29,2,15,7,19
"Over","REG","Sunday","Home",41.5,7,7,1,"outdoors","grass",73,4,2891.35239697307,-42.7556402044332,22,29,20,25,-2
"Over","REG","Sunday","Home",47,14,7,1,"outdoors","grass",61,8,3088.7471441,21.16928910885,13,26,25,3,-35
"Under","REG","Sunday","Home",45,7,14,0,"outdoors","grass",54,7,3229.13084637825,-49.1422642774833,2,17,2,26,9
"Under","REG","Sunday","Home",41,8,14,1,"outdoors","grass",24,3,3146.59376088,-8.22281021,18,27,21,10,-20
"Under","REG","Sunday","Home",49,7,7,1,"outdoors","grass",64,6,3203.27752146,-9.19850244877,21,24,11,4,-10
"Over","REG","Sunday","Home",49,14,7,1,"dome","astroturf",72,0,3121.99456337,21.14519466456,2,25,27,4,-46
"Under","REG","Sunday","Home",47,7,7,0,"outdoors","grass",54,9,3239.67012807,21.86889960773,7,12,28,15,-18
"Over","REG","Sunday","Home",45.5,7,7,0,"dome","astroturf",72,0,3070.43320101,9.27065088246,11,18,25,1,-31
"Under","REG","Sunday","Home",46.5,7,7,1,"outdoors","fieldturf",43,9,2781.65761771,-13.8763898531,14,4,8,11,13
"Over","REG","Sunday","Home",43,7,7,1,"closed","grass",72,0,3005.46971628,-1.2556036593,17,20,31,4,-30
"Over","REG","Sunday","Home",46,6,7,0,"closed","grass",72,0,2796.28681854848,-82.0488449663296,16,18,3,29,24
"Under","REG","Sunday","Home",48,7,7,0,"outdoors","grass",54,4,3088.26012567,30.88622180558,19,14,3,3,5
"Over","REG","Saturday","Home",39.5,6,6,0,"outdoors","fieldturf",45,0,3182.04133938,29.1596309264,8,24,9,22,-3
"Over","REG","Sunday","Home",41.5,7,7,1,"outdoors","fieldturf",84,10,3137.93826605,9.83311736358,32,32,32,32,0
"Under","REG","Sunday","Home",45.5,14,6,0,"closed","fieldturf",72,0,2985.11569897,-10.85936684179,29,27,15,9,-4
"Over","REG","Sunday","Home",34.5,7,6,0,"outdoors","grass",80,12,2861.35254515,-15.07630438295,26,20,7,22,21
"Over","REG","Sunday","Home",45.5,7,7,0,"outdoors","dessograss",39,9,3017.49366944,57.8729164884,5,12,2,9,0
"Over","REG","Sunday","Home",53.5,7,7,0,"closed","matrixturf",72,0,3082.08422271,4.21422246217,9,18,3,6,-6
"Under","REG","Sunday","Home",47.5,7,7,1,"outdoors","fieldturf",67,8,2997.28385666,19.66808646838,11,12,27,6,-22
"Under","REG","Thursday","Home",41.5,4,4,1,"outdoors","grass",36,10,3085.38850232907,-96.3397684595758,17,8,18,24,15
"Under","REG","Monday","Home",46,8,11,0,"closed","grass",72,0,3020.88124228,-19.0947140601,12,1,28,21,4
"Over","REG","Sunday","Home",45,7,7,0,"closed","grass",72,0,2954.08402791,11.244976272484,16,10,17,8,-3
"Over","REG","Sunday","Home",41.5,7,7,1,"outdoors","grass",58,16,2869.96861407,-13.473656293061,26,9,10,32,39
"Over","REG","Sunday","Home",40,7,7,0,"outdoors","grass",70,7,3047.09013719,3.131147309,32,32,32,32,0
"Under","REG","Sunday","Home",49,7,7,0,"outdoors","grass",58,4,2899.96861194,8.5421910118,11,8,2,3,4
"Under","REG","Sunday","Home",37.5,7,7,0,"outdoors","grass",88,8,2862.110638,-101.3027573528,28,11,13,21,25
"Under","REG","Sunday","Home",43.5,7,6,0,"outdoors","grass",45,5,3171.26733856,2.82421425789,10,8,17,22,7
"Under","REG","Thursday","Home",51.5,7,7,0,"closed","matrixturf",72,0,3253.63861327,31.41885761695,25,6,27,5,-3
"Over","REG","Sunday","Home",48.5,7,7,0,"outdoors","fieldturf",51,10,3031.9495595,5.0871711834,2,30,28,31,-25
"Over","REG","Sunday","Home",41,7,6,0,"outdoors","sportturf",40,4,3159.29380712,-24.44145583889,26,32,18,4,-20
"Under","REG","Sunday","Home",32,7,7,0,"outdoors","grass",78,0,2988.26255451,-2.461859253871,22,7,22,15,8
"Over","REG","Sunday","Home",52.5,7,8,0,"outdoors","grass",28,15,3219.05114249514,45.4745058842029,5,13,15,2,-21
"Under","REG","Saturday","Home",34,6,6,1,"outdoors","grass",22,14,2789.31299853951,-80.3904203912931,29,22,32,32,7
"Under","REG","Sunday","Home",41.5,7,7,0,"outdoors","grass",25,6,2779.4251699,-24.99428064391,25,22,28,8,-17
"Under","REG","Sunday","Home",49.5,14,14,0,"dome","sportturf",72,0,3098.44104432814,-217.111917870895,4,19,7,1,-21
"Under","REG","Sunday","Home",39.5,7,6,1,"outdoors","grass",57,9,3110.6611451,-5.17304388268,13,3,27,16,-1
"Over","REG","Sunday","Home",38.5,7,7,1,"outdoors","fieldturf",57,7,2898.58618699,7.13022805868,19,21,2,30,26
"Under","REG","Sunday","Home",44,7,7,0,"outdoors","grass",45,6,3177.51005846,-5.53098964216,9,3,15,18,9
"Under","REG","Sunday","Home",48.5,7,7,0,"outdoors","grass",72,4,3143.5145698,21.08152546944,15,13,25,3,-20
"Over","REG","Sunday","Home",50.5,7,7,0,"outdoors","grass",56,7,3161.4428576,36.41367885569,11,4,11,4,0
"Under","REG","Sunday","Home",50,7,7,0,"closed","matrixturf",72,0,3073.28577577589,30.4581404753264,1,22,11,19,-13
"Over","REG","Sunday","Home",41,7,7,0,"outdoors","grass",67,16,2841.0058368,-0.33266316425,32,26,19,26,13
"Under","REG","Thursday","Home",49,4,4,0,"outdoors","grass",75,3,3012.99494506,25.6752612934,8,29,4,2,-23
"Over","REG","Sunday","Home",46.5,7,6,0,"outdoors","fieldturf",41,8,3199.4026906,44.0680000613,15,8,27,9,-11
"Over","REG","Saturday","Home",38.5,6,6,0,"outdoors","grass",60,5,3100.12848705,-11.133183416435,22,17,21,13,-3
"Under","REG","Sunday","Home",40.5,7,7,0,"closed","astroturf",72,0,2890.02717049,72.1100629696,3,5,3,29,24
"Under","REG","Sunday","Home",44.5,7,7,0,"outdoors","grass",48,10,2993.83943509767,-15.0366153147243,8,11,14,10,-7
"Under","REG","Sunday","Home",44,7,7,0,"dome","fieldturf",72,0,3057.07034416,12.33874212972,9,28,24,22,-21
"Under","REG","Monday","Home",47,11,8,1,"outdoors","grass",62,8,3077.01945764,13.69100300858,20,22,20,7,-15
"Under","REG","Sunday","Home",44,7,7,1,"outdoors","grass",58,12,3139.70060373,-109.8964264277,8,5,10,1,-6
"Over","REG","Sunday","Home",52,7,6,0,"outdoors","fieldturf",85,0,3332.23077062,55.0930693649,1,2,20,2,-19
"Over","REG","Sunday","Home",51.5,7,7,0,"open","fieldturf",72,0,2995.12945179,18.62009367661,32,32,32,32,0
"Under","REG","Sunday","Home",47.5,14,14,0,"dome","fieldturf",72,0,3058.28499568,-42.6382275132,4,1,9,15,9
"Under","REG","Sunday","Home",34.5,7,6,1,"outdoors","grass",91,5,3123.40277174,7.8200480655,15,8,22,27,12
"Over","REG","Monday","Home",45,8,8,1,"dome","astroturf",72,0,3079.91726408,-7.30611925288,3,17,5,10,-9
"Under","WC","Sunday","Home",51,7,8,0,"closed","matrixturf",72,0,3207.31707195155,8.63360314851045,1,7,8,6,-8
"Under","CON","Sunday","Home",37,8,7,0,"outdoors","grass",17,26,3186.92465969,47.0157170498,1,3,2,4,0
"Under","REG","Sunday","Home",44,14,7,1,"outdoors","grass",73,8,2971.59519208,26.23863790452,12,22,14,6,-18
"Under","REG","Sunday","Home",38.5,7,6,1,"outdoors","grass",55,2,3107.9784911,24.25950023649,8,22,9,27,4
"Over","DIV","Sunday","Home",53,7,14,0,"outdoors","grass",51,13,3238.26743869,49.0023842712,2,2,7,1,-6
"Under","REG","Sunday","Home",39.5,6,7,1,"dome","astroplay",72,0,2910.03233288,-8.42796488267,24,7,9,27,35
"Over","REG","Sunday","Home",41.5,7,14,1,"outdoors","grass",72,5,3096.26889699,-150.69150357581,21,8,11,10,12
"Over","REG","Sunday","Home",53.5,7,7,0,"dome","astroturf",72,0,3043.65267825,95.9277576689,1,11,6,24,8
"Under","REG","Sunday","Home",46,7,7,0,"outdoors","fieldturf",62,2,3029.13509837,31.3789836436702,20,21,13,19,5
"Over","REG","Monday","Home",43.5,8,8,1,"outdoors","fieldturf",63,6,3143.7816886,4.13961070611,4,3,23,2,-20
"Over","REG","Sunday","Home",43,7,7,0,"outdoors","grass",51,9,3053.81126318,0.99680975051,12,6,28,2,-20
"Over","REG","Sunday","Home",41,7,7,1,"outdoors","grass",33,16,2931.39076265,0.762813218767,24,9,8,15,22
"Over","REG","Monday","Home",46.5,7,7,1,"outdoors","grass",82,11,3113.65701281,4.17533223816,32,32,32,32,0
"Under","REG","Sunday","Home",31,7,7,0,"outdoors","grass",79,10,2990.85314469,17.7034157079,24,9,7,21,29
"Under","REG","Sunday","Home",45,7,7,0,"outdoors","grass",46,8,3058.81983243,-14.60998633961,2,11,23,19,-13
"Under","REG","Sunday","Home",47,7,7,0,"dome","sportturf",72,0,3039.33292375,20.57125495451,3,11,2,26,16
"Under","REG","Sunday","Home",37,7,7,0,"outdoors","grass",37,16,3211.15777558,-67.2206912497,12,7,15,21,11
"Under","REG","Sunday","Home",52,7,7,0,"outdoors","grass",41,14,2963.43081951,28.42569381338,11,10,21,9,-11
"Over","REG","Sunday","Home",46.5,7,7,0,"outdoors","grass",79,6,3040.69515640903,25.8761652684114,14,9,22,26,9
"Over","REG","Monday","Home",36,8,8,1,"outdoors","grass",83,7,2995.36115759,-46.5507814798,16,8,27,20,1
"Over","REG","Sunday","Home",44,7,6,0,"outdoors","grass",81,9,2852.09664762,-12.42050221154,28,16,7,14,19
"Under","REG","Sunday","Home",44.5,7,14,0,"dome","fieldturf",72,0,3118.11925981,-27.06063645464,19,19,5,9,4
"Over","REG","Sunday","Home",46.5,14,7,0,"outdoors","grass",48,6,2979.477092,14.44111924488,7,7,4,14,10
"Under","REG","Sunday","Home",36.5,7,14,1,"outdoors","grass",60,5,2686.90194649,-24.0267024111,30,19,21,28,18
"Over","REG","Sunday","Home",41,7,8,1,"outdoors","grass",48,2,3085.69198499,6.3632308184,16,25,8,14,-3
"Over","REG","Sunday","Home",36,7,7,0,"outdoors","grass",86,0,2949.73474026,-27.77754197487,32,32,32,32,0
"Over","REG","Sunday","Home",41.5,8,7,1,"outdoors","grass",41,1,2868.69987807,-136.42691423577,8,15,17,30,6
