total_line,temp,wind,total_qb_elo,team_elo_diff,qb_elo_diff,avg_home_total_yards,avg_away_total_yards,avg_home_total_yards_against,avg_away_total_yards_against,div_game,roof_closed,roof_dome,roof_open,roof_outdoors,surface_astroplay,surface_astroturf,surface_dessograss,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf,total_result
43.0,68,7,93.3995234474,172.26933045,53.766637951,297.25,412.6,522.25,293.6,1,0,0,0,1,0,0,0,0,1,0,0,Under
48.5,66,10,23.68354225026,131.07231333,12.26897034914,386.4,294.0,318.066666666667,312.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
37.5,62,11,-12.26327593933,16.7044274099999,21.55161025507,337.8,349.0,322.866666666667,295.6,1,0,0,0,1,0,0,0,0,1,0,0,Under
39.0,72,0,12.063852619,26.5677336799999,5.61430615892,408.5,301.6,286.0625,368.8,1,0,1,0,0,0,1,0,0,0,0,0,Over
36.5,63,7,58.5933480074081,164.18982875,58.5936352551919,359.5,298.2,417.75,396.28,0,0,0,0,1,0,1,0,0,0,0,0,Over
43.5,62,8,25.0938673742,44.4635463699999,1.7513535784,295.75,330.0,292.25,403.52,1,0,0,0,1,0,0,0,0,1,0,0,Under
40.5,72,0,20.94453927762,81.0001996999999,2.31694339598,320.0,358.8,325.84,279.0,1,0,1,0,0,0,1,0,0,0,0,0,Under
40.5,75,7,-40.07380638327,60.55699688,23.60589620293,330.666666666667,300.6,279.333333333333,337.866666666667,1,0,0,0,1,0,0,0,0,1,0,0,Under
37.0,61,0,-26.43044751505,184.47936551,9.31692632175,325.8,261.4,302.2,367.2,1,0,0,0,1,0,1,0,0,0,0,0,Under
58.5,72,0,18.3093602152,242.31485471,53.9104093054,515.2,279.333333333333,290.666666666667,330.666666666667,1,0,1,0,0,0,1,0,0,0,0,0,Over
34.5,75,0,8.92323215733,34.4187952,10.24498456289,381.333333333333,325.833333333333,333.5,340.666666666667,0,0,0,0,1,0,0,0,0,1,0,0,Under
39.0,80,3,28.96037377897,90.9941866300001,13.39306599123,320.2,333.5,284.88,381.333333333333,1,0,0,0,1,0,0,0,0,1,0,0,Over
44.0,59,7,31.04621828152,226.05800992,17.00659700108,399.0,286.666666666667,298.041666666667,320.333333333333,0,0,0,0,1,0,0,0,0,1,0,0,Over
37.0,76,10,-3.64831615745,39.4712239099999,11.92272664057,298.333333333333,302.2,417.791666666667,325.8,1,0,0,0,1,0,0,0,0,1,0,0,Over
44.0,45,10,42.5064841655,127.41299816,4.1497511423,280.833333333333,417.8,354.708333333333,299.28,0,0,0,0,1,0,0,0,1,0,0,0,Over
49.5,54,4,29.08866673894,79.2887116699999,32.28469280226,332.333333333333,400.666666666667,279.333333333333,324.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
44.0,56,7,13.56299041202,219.0308063,9.30073608818,328.0,396.0,315.916666666667,312.88,1,0,0,0,1,0,0,0,0,1,0,0,Under
38.0,74,6,-9.5009115666,101.04764327,27.316328674,367.2,340.666666666667,261.4,325.833333333333,1,0,0,0,1,0,0,0,0,1,0,0,Over
37.5,76,5,33.7536626768,106.33608717,10.7628405366,311.0,279.333333333333,398.083333333333,332.333333333333,1,0,0,0,1,0,0,0,0,1,0,0,Over
47.0,72,0,11.87629755873,131.85243481,25.95681709587,431.5,297.857142857143,292.027777777778,302.314285714286,1,0,1,0,0,0,1,0,0,0,0,0,Over
40.0,72,0,-4.170419597,18.4807046399999,25.0281033802,279.571428571429,335.0,518.742857142857,329.333333333333,1,0,1,0,0,0,1,0,0,0,0,0,Under
35.0,64,10,9.28607918198,73.4650788599999,14.83526052002,311.571428571429,374.166666666667,363.857142857143,340.388888888889,1,0,0,0,1,0,0,0,0,1,0,0,Under
